subject,vowel,f0,f1,f2,f3
subj09,AE,232.271403894761,940.148236083984,1326.02752685547,2132.30009765625
subj09,AE,233.177604699879,1001.14823913574,2052.63249206543,2888.56430053711
subj09,AE,233.26716916202,1024.83587646484,1831.54847717285,2588.2495880127
subj09,AE,234.536466684092,1078.20655235877,2012.83490459736,3030.00518329327
subj09,AE,235.253727740635,1034.89891052246,1453.86461639404,2353.92587280273
subj09,AE,236.495683495113,1075.34942072088,2054.22662908381,3004.07610529119
subj09,AE,242.481574879811,1001.85479266827,1992.99221567007,2734.36628605769
subj09,AE,243.885628420714,1090.88882882254,2023.33967808315,2875.09054129464
subj09,AE,245.302695218361,1110.59107384315,1852.24545522837,2230.29780461238
subj09,AE,251.629379503338,1075.17042032878,1915.92647298177,2482.14512125651
subj09,AH,119.312712035626,964.189107259115,1394.16782633464,3058.23270670573
subj09,AH,223.21619573351,1054.28753662109,1278.99639892578,3143.96362304688
subj09,AH,224.279333306938,1026.97567749023,1402.92221679688,3130.4919921875
subj09,AH,238.837177090189,1052.90916224888,1455.41517857143,2715.17651367188
subj09,AH,238.85668099966,1003.05873325893,1336.62363978795,2959.46861049107
subj09,AH,240.669520875846,1020.34332784017,1405.42121378581,3220.62982177734
subj09,AH,241.284185948554,983.298222468449,1367.68529334435,3046.60182542067
subj09,AH,243.033039486064,1007.38990922408,1508.1591574929,3213.93419300426
subj09,AH,245.661880521639,1078.81512451172,1356.96383056641,3103.10314941406
subj09,AH,249.811144215143,1009.86630859375,1329.21767578125,2740.15456542969
subj09,EE,248.944973526905,300.893943786621,2633.62317911784,3285.90785725911
subj09,EE,253.084084788156,291.646562576294,2939.80369567871,3461.57453918457
subj09,EE,253.629393275904,314.147624424526,1804.00484357561,3187.12526157924
subj09,EE,258.423088358811,320.436762029474,2978.13558682528,3224.5439453125
subj09,EE,265.68072779507,301.431686401367,2462.84879557292,3197.75506591797
subj09,EE,266.575144294135,307.745269775391,3027.15576171875,3509.04164632161
subj09,EE,267.646232961646,307.379812240601,2064.99777984619,3225.25727844238
subj09,EE,273.565253955941,320.443560791016,2887.2765625,3298.32875976562
subj09,EE,278.111352100279,358.693727493286,2763.64657592773,3400.82656860352
subj09,EE,290.867402861626,308.926391601562,2471.43763146034,3109.72981144832
subj09,EH,241.023941721232,967.178955078125,1938.07167053223,2663.32879638672
subj09,EH,245.47814956759,921.242972237723,2034.38978794643,2913.6620047433
subj09,EH,246.694992179034,873.151574707031,1611.23533935547,2342.87504882812
subj09,EH,248.430505769467,947.185676574707,1641.81893920898,2411.90716552734
subj09,EH,252.0258166243,937.065307617188,1784.71558172053,2473.05575284091
subj09,EH,255.766092899314,897.52946472168,1980.49594116211,2940.80770874023
subj09,EH,257.184330863565,922.968490600586,1954.38397216797,2385.05023193359
subj09,EH,259.432917740628,851.367114596897,1244.8372531467,2348.62608506944
subj09,EH,267.612321242338,957.944552951389,2063.48886447483,2660.1545952691
subj09,EH,274.68201583979,924.445581054688,1936.05661621094,2078.32319335938
subj09,IH,239.313705812213,575.639419555664,1785.55407714844,2458.20361328125
subj09,IH,253.424898201105,633.984592982701,1709.83839634487,2838.12915039062
subj09,IH,255.092722541696,605.165806361607,2034.14289202009,2845.10895647321
subj09,IH,256.657142155418,533.890401204427,1789.31018066406,2465.724609375
subj09,IH,257.843341926473,685.255407714844,2253.7654296875,3127.51010742188
subj09,IH,258.249496576509,596.338000488281,1517.09501953125,2530.31665039062
subj09,IH,261.480103714447,589.453955078125,1715.89904785156,2671.80102539062
subj09,IH,276.85590540112,583.396569824219,2077.10314941406,2451.44809570313
subj09,IH,280.947198475142,576.304966517857,1454.99571010045,2523.36226981027
subj09,IH,285.751788876971,606.174448649089,1746.68434651693,2521.45617675781
subj09,OO,261.607951519776,457.037357330322,1271.81816101074,3013.69488525391
subj09,OO,268.960264795723,437.188587188721,1479.09628295898,2884.00732421875
subj09,OO,276.785868934839,364.782978602818,1307.28795514788,2876.35716029576
subj09,OO,280.762766445859,373.496577671596,1611.74257986886,2919.46763392857
subj09,OO,283.082887273299,356.674085344587,1412.29016113281,2932.29861886161
subj09,OO,285.704284575669,296.035121917725,1207.35470581055,2872.49606323242
subj09,OO,288.627907631364,387.598292424129,1453.70880596454,2996.42020357572
subj09,OO,300.483633136758,337.979993547712,1347.38063267299,3032.69119698661
subj09,OO,301.453798431779,353.28980255127,1422.90045166016,2964.71026611328
subj09,OO,305.432714381221,342.900810241699,1266.52537536621,3009.76824951172
subj09,UH,241.269529802099,906.152740478516,1711.72650146484,2937.26770019531
subj09,UH,259.209034092348,895.305969238281,1759.6783203125,3021.00219726562
subj09,UH,278.030578312287,821.350280761719,1747.68981933594,2545.21057128906
subj10,AE,141.16483040641,685.089779808408,1737.97214471726,2697.42515345982
subj10,AE,144.274308047107,692.5640130294,1724.71528705798,2688.14053505345
subj10,AE,144.815751659417,662.403817313058,1689.79472423735,2577.31358700707
subj10,AE,145.754375417688,708.445061934622,1713.1481355366,2451.38077585321
subj10,AE,145.801964340769,706.126675415039,1559.22868347168,2411.09899291992
subj10,AE,146.378674147746,707.04238614169,1752.14654541016,2742.16731400923
subj10,AE,148.109726507603,710.257260131836,1730.56624755859,2709.13787841797
subj10,AE,148.319362537417,682.145735891242,1680.82482910156,2719.88119346217
subj10,AE,148.777488396032,723.695961914063,1705.51305664063,2660.58724121094
subj10,AE,158.445336787481,728.296813964844,1716.18615722656,2659.48745727539
subj10,AH,146.586103828796,677.932032993862,1117.34459577288,2899.02689034598
subj10,AH,147.668257773584,661.271209716797,1055.63209152222,2772.91972351074
subj10,AH,148.259756018438,672.845074821921,1124.74948299632,2814.47014303768
subj10,AH,148.540628010763,705.860563151042,1171.84432779948,2812.91624348958
subj10,AH,149.470550412624,696.107014973958,1150.74255371094,2797.33446103051
subj10,AH,152.544278510353,682.096074422201,1149.71710713704,2795.66497802734
subj10,AH,152.767177774682,729.615445650541,1164.31623722957,2725.15741436298
subj10,AH,155.871011801095,696.908501876028,1127.21694464433,2845.49171206826
subj10,AH,155.92230330166,702.450478001645,1149.5481406764,2720.62696597451
subj10,AH,156.182123243317,685.213815789474,1115.79763312089,2751.43519993832
subj10,EE,148.551344177873,294.749587115119,2347.00804227941,2924.22857306985
subj10,EE,149.640246596604,300.307240205653,2371.30731560202,2949.56820140165
subj10,EE,152.785095015995,301.4084741929,2369.7965446921,2935.6380256204
subj10,EE,153.037426910879,304.937263997396,2359.59988606771,2917.58483072917
subj10,EE,153.818566716886,300.908764309353,2319.54812282986,2900.67144097222
subj10,EE,156.444317509897,307.465145111084,2367.01376342773,2930.94190979004
subj10,EE,156.66782379266,305.662536621094,2328.64282226562,2722.32938639323
subj10,EE,160.420134973966,316.898478788488,2392.03499827665,2974.83814912684
subj10,EE,160.827754617805,313.99736735026,2395.449609375,3022.08657226562
subj10,EE,167.034565334176,322.821537272135,2378.51901041667,3002.27200520833
subj10,EH,136.312325101509,693.992980957031,1830.25660289418,2710.6806196733
subj10,EH,140.749910347211,675.713951697716,1819.41963078425,2750.48621544471
subj10,EH,144.046551865098,654.303494540128,1792.79708030007,2504.94426935369
subj10,EH,147.648134322435,626.893170166016,1845.27349853516,2775.45266113281
subj10,EH,152.202342652207,618.355672200521,1789.20930989583,2659.48206922743
subj10,EH,155.12683086217,650.204054090712,1827.10663519965,2713.50200737847
subj10,EH,155.733768677183,642.808250427246,1782.08874511719,2627.68460083008
subj10,EH,157.03259463925,642.804138183594,1835.72234429253,2372.53466796875
subj10,EH,159.565040840626,685.688969203404,1774.32912772042,2567.38349260603
subj10,EH,161.333895845226,664.687100923978,1793.58916766827,2695.76690204327
subj10,IH,143.459523138925,447.509984796697,1991.49102228338,2624.56780450994
subj10,IH,151.362736258084,448.543170635517,2025.91084172175,2690.98501352163
subj10,IH,151.839543718471,468.352209472656,1943.29022623698,2621.74057617188
subj10,IH,151.975467306927,462.822308349609,1986.81168212891,2662.2806640625
subj10,IH,155.265854524357,465.027424205433,1918.19556773793,2633.59905450994
subj10,IH,155.56607246977,472.189105224609,1949.10856119792,2668.57482096354
subj10,IH,157.463743908979,470.102716619318,2029.28659889915,2711.78968394886
subj10,IH,162.18574478429,460.467969621931,2012.73092215402,2640.49623325893
subj10,IH,162.760499715325,471.423227163462,2033.15524526743,2503.49192457933
subj10,IH,164.248848074306,480.127131870815,1982.435546875,2693.71944754464
subj10,OO,148.299793417145,291.539242214627,1038.68755425347,2370.41471354167
subj10,OO,149.005273839562,301.618158340454,1086.45468139648,2312.32537841797
subj10,OO,149.275786426992,298.986307779948,1102.52251790365,2243.75579427083
subj10,OO,151.804673805088,303.144399007161,1054.43723551432,2283.01422119141
subj10,OO,152.008855450116,306.808898925781,1053.83897399902,2337.81101989746
subj10,OO,154.427784252099,309.131320953369,1070.0823059082,2239.46366882324
subj10,OO,159.69104118853,315.346325683594,1021.36885375977,2303.2392578125
subj10,OO,161.191270101507,319.082003275553,1107.32659912109,2219.03326416016
subj10,OO,169.863549511896,334.415281023298,1032.88422066825,2194.22867257254
subj10,OO,178.068689923406,330.613732910156,989.40078531901,2323.10008138021
subj10,UH,143.056381293017,718.940381731306,1419.57286725725,2751.30083356585
subj10,UH,148.175823706548,679.180242919922,1377.31506347656,2622.44333496094
subj10,UH,148.578668532618,718.214435283954,1426.28988882212,2763.28583233173
subj10,UH,152.166259263574,698.591295030382,1426.37312825521,2698.62961154514
subj10,UH,152.475781005432,671.537170410156,1432.33450520833,2754.16329752604
subj10,UH,153.424230827903,705.014215087891,1421.32620849609,2725.02392578125
subj10,UH,155.211437399073,684.66911315918,1421.86322021484,2667.04575602214
subj10,UH,155.993803205321,686.855235706676,1452.41877885298,2706.46260209517
subj10,UH,162.562121440722,678.564245605469,1401.98199462891,2558.86801757813
subj10,UH,179.03468950679,673.823723687066,1504.28312174479,2673.34426540799
subj15,AE,233.83387381932,918.562469482422,1884.07957240513,2835.08227539062
subj15,AE,233.918981547852,930.841448974609,1845.80618896484,2766.3703125
subj15,AE,235.667937919898,923.654561360677,1885.91743977865,2675.96563720703
subj15,AE,235.848518560115,924.60000332919,1922.5293190696,3069.84386097301
subj15,AE,236.615523935058,941.220482459435,1837.55686598558,2900.75341796875
subj15,AE,238.719873498467,936.913415527344,1893.68739013672,2996.62641601563
subj15,AE,247.677898109241,958.772693980824,1874.36258212003,2880.51478160511
subj15,AE,248.319094163322,947.241049630301,1798.50020054408,2723.47809709821
subj15,AE,249.951555336174,984.250872802734,1982.68668212891,2730.72180175781
subj15,AE,252.047992917884,987.739680363582,1962.69271146334,2684.7661320613
subj15,AH,229.593923283351,1006.42839466442,1551.37982732599,2944.83134321733
subj15,AH,235.279239287742,1007.53300476074,1532.08063761393,2903.96384684245
subj15,AH,236.484833881818,996.577575683594,1470.57528921274,3016.72427133413
subj15,AH,237.09530010479,1023.30623557351,1542.35799893466,2913.69588955966
subj15,AH,237.669590982462,1028.01079915365,1603.51070963542,3017.38880208333
subj15,AH,238.316102030512,954.786250187801,1546.93002554087,3042.5585561899
subj15,AH,238.3354804074,1035.43884277344,1508.73218645368,3042.09851074219
subj15,AH,243.942806971586,1011.0194936899,1499.22096604567,2892.92345252404
subj15,AH,255.013448756585,1000.84559215199,1487.77673339844,3013.90556196733
subj15,AH,257.16066829017,1015.99589954723,1517.97973632812,3076.53156072443
subj15,EE,257.546162132867,399.503193248402,2607.94413618608,2916.15651633523
subj15,EE,259.35455115636,331.354684448242,2557.89313964844,3115.3921875
subj15,EE,262.030619391457,310.483923339844,2553.29411621094,2819.21752929688
subj15,EE,264.211066799234,374.76526260376,2612.71054077148,3095.49584960938
subj15,EE,266.562594225313,325.933800591363,2626.42426215278,3029.14070638021
subj15,EE,268.465693435592,395.467451615767,2595.32370827415,2809.02951882102
subj15,EE,272.349642311511,309.786173502604,2704.9417046441,2794.20035807292
subj15,EE,275.589948002792,318.659389919705,2686.00434027778,3051.92244466146
subj15,EE,277.250612959341,359.998110961914,2637.47465820312,2982.12980957031
